2023-11-17 15:27:23 INFO     Saving logs in: /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:29:41 INFO     	 Epoch 66 | average train loss: 0.0051
2023-11-17 16:29:42 INFO     	 Epoch 66 | average valid loss: 0.0685
2023-11-17 16:30:35 INFO     	 Epoch 67 | average train loss: 0.0050
2023-11-17 16:30:35 INFO     	 Epoch 67 | average valid loss: 0.0686
2023-11-17 16:31:28 INFO     	 Epoch 68 | average train loss: 0.0049
2023-11-17 16:31:29 INFO     	 Epoch 68 | average valid loss: 0.0690
2023-11-17 16:32:22 INFO     	 Epoch 69 | average train loss: 0.0048
2023-11-17 16:32:23 INFO     	 Epoch 69 | average valid loss: 0.0693
2023-11-17 16:32:25 INFO     	 valid MR: 1861.91 | MRR: 0.366 | H@1: 0.265 | H@10: 0.565 | H@50: 0.703 | H@100: 0.744
2023-11-17 16:32:25 INFO     	 Saving model at epoch 69 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:33:19 INFO     	 Epoch 70 | average train loss: 0.0047
2023-11-17 16:33:19 INFO     	 Epoch 70 | average valid loss: 0.0698
2023-11-17 16:34:12 INFO     	 Epoch 71 | average train loss: 0.0046
2023-11-17 16:34:13 INFO     	 Epoch 71 | average valid loss: 0.0700
2023-11-17 16:35:06 INFO     	 Epoch 72 | average train loss: 0.0046
2023-11-17 16:35:07 INFO     	 Epoch 72 | average valid loss: 0.0702
2023-11-17 16:36:00 INFO     	 Epoch 73 | average train loss: 0.0045
2023-11-17 16:36:01 INFO     	 Epoch 73 | average valid loss: 0.0707
2023-11-17 16:36:54 INFO     	 Epoch 74 | average train loss: 0.0044
2023-11-17 16:36:55 INFO     	 Epoch 74 | average valid loss: 0.0708
2023-11-17 16:36:57 INFO     	 valid MR: 1861.44 | MRR: 0.370 | H@1: 0.269 | H@10: 0.567 | H@50: 0.704 | H@100: 0.744
2023-11-17 16:36:57 INFO     	 Saving model at epoch 74 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:37:51 INFO     	 Epoch 75 | average train loss: 0.0043
2023-11-17 16:37:51 INFO     	 Epoch 75 | average valid loss: 0.0711
2023-11-17 16:38:45 INFO     	 Epoch 76 | average train loss: 0.0042
2023-11-17 16:38:45 INFO     	 Epoch 76 | average valid loss: 0.0715
2023-11-17 16:39:39 INFO     	 Epoch 77 | average train loss: 0.0042
2023-11-17 16:39:39 INFO     	 Epoch 77 | average valid loss: 0.0718
2023-11-17 16:40:33 INFO     	 Epoch 78 | average train loss: 0.0041
2023-11-17 16:40:33 INFO     	 Epoch 78 | average valid loss: 0.0719
2023-11-17 16:41:26 INFO     	 Epoch 79 | average train loss: 0.0040
2023-11-17 16:41:27 INFO     	 Epoch 79 | average valid loss: 0.0720
2023-11-17 16:41:29 INFO     	 valid MR: 1863.80 | MRR: 0.372 | H@1: 0.272 | H@10: 0.569 | H@50: 0.707 | H@100: 0.745
2023-11-17 16:41:29 INFO     	 Saving model at epoch 79 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:42:23 INFO     	 Epoch 80 | average train loss: 0.0039
2023-11-17 16:42:23 INFO     	 Epoch 80 | average valid loss: 0.0726
2023-11-17 16:43:17 INFO     	 Epoch 81 | average train loss: 0.0039
2023-11-17 16:43:17 INFO     	 Epoch 81 | average valid loss: 0.0728
2023-11-17 16:44:10 INFO     	 Epoch 82 | average train loss: 0.0038
