term	level	class
GO:0000484	10	biological_process
GO:0000485	10	biological_process
GO:0000486	10	biological_process
GO:0000487	10	biological_process
GO:0000488	10	biological_process
GO:0000489	10	biological_process
GO:0000491	7	biological_process
GO:0000492	8	biological_process
GO:0000493	8	biological_process
GO:0000494	10	biological_process
GO:0000495	10	biological_process
GO:0000497	2	molecular_function
GO:0000500	4	cellular_component
GO:0000502	3	cellular_component
GO:0000506	3	cellular_component
GO:0000510	4	molecular_function
GO:0000511	4	molecular_function
GO:0000512	9	biological_process
GO:0000513	3	molecular_function
GO:0000514	4	molecular_function
GO:0000515	4	molecular_function
GO:0000578	4	biological_process
GO:0000700	5	molecular_function
GO:0000701	6	molecular_function
GO:0000702	5	molecular_function
GO:0000703	6	molecular_function
GO:0000704	5	molecular_function
GO:0000705	5	biological_process
GO:0000706	3	biological_process
GO:0000707	4	biological_process
GO:0000708	4	biological_process
GO:0000709	3	biological_process
GO:0000710	4	biological_process
GO:0000711	4	biological_process
GO:0000712	4	biological_process
GO:0000713	4	biological_process
GO:0000714	4	biological_process
GO:0000715	6	biological_process
GO:0000716	7	biological_process
GO:0000717	9	biological_process
GO:0000718	7	biological_process
GO:0000719	7	biological_process
GO:0000720	7	biological_process
GO:0000721	5	molecular_function
GO:0000722	7	biological_process
GO:0000723	6	biological_process
GO:0000724	7	biological_process
GO:0000725	6	biological_process
GO:0000727	8	biological_process
GO:0000729	6	biological_process
GO:0000730	7	biological_process
GO:0000731	6	biological_process
GO:0000732	6	biological_process
GO:0000735	6	biological_process
GO:0000736	7	biological_process
GO:0000740	6	biological_process
GO:0000741	6	biological_process
GO:0000742	2	biological_process
GO:0000743	2	biological_process
GO:0000744	2	biological_process
GO:0000745	2	biological_process
GO:0000747	3	biological_process
GO:0000748	3	biological_process
GO:0000749	6	biological_process
GO:0000750	4	biological_process
GO:0000751	7	biological_process
GO:0000752	2	biological_process
GO:0000753	3	biological_process
GO:0000754	6	biological_process
GO:0000755	3	biological_process
GO:0000756	3	biological_process
GO:0000758	2	biological_process
GO:0000760	4	biological_process
GO:0000761	2	biological_process
GO:0000762	4	biological_process
GO:0000765	5	biological_process
GO:0000766	7	biological_process
GO:0000768	3	biological_process
GO:0000769	3	biological_process
GO:0000770	6	biological_process
GO:0000772	6	molecular_function
GO:0000773	6	molecular_function
GO:0000774	3	molecular_function
GO:0000775	3	cellular_component
GO:0000776	3	cellular_component
GO:0000779	4	cellular_component
GO:0000781	3	cellular_component
GO:0000782	3	cellular_component
GO:0000783	3	cellular_component
GO:0000785	3	cellular_component
GO:0000786	3	cellular_component
GO:0000791	4	cellular_component
GO:0000792	4	cellular_component
GO:0000793	6	cellular_component
GO:0000794	7	cellular_component
GO:0000795	3	cellular_component
GO:0000796	2	cellular_component
GO:0000800	2	cellular_component
GO:0000801	2	cellular_component
GO:0000802	2	cellular_component
GO:0000803	6	cellular_component
GO:0000804	7	cellular_component
GO:0000805	7	cellular_component
GO:0000806	7	cellular_component
GO:0000807	7	cellular_component
GO:0000808	2	cellular_component
GO:0000809	3	cellular_component
GO:0000810	6	molecular_function
GO:0000811	4	cellular_component
GO:0000812	4	cellular_component
GO:0000813	3	cellular_component
GO:0000814	3	cellular_component
